CODPROD;DESCRICAO;EMBALAGEM;QTUNITCX;MARCA;PESOLIQ;CODFORNEC
1963;NESTLE GREGO TORTA LIMAO 24X90G;90G;24;NESTLE;0,09;16
1668;NESTLE FLAN CARAMELO 8X400G;400G;8;NESTLE;0,4;16
1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;90G;24;NESTLE;0,09;16
1940;NESTLE GREGO TORTA MARACUJA 24X90G;90G;24;NESTLE;0,09;16
1941;NESTLE GREGO TRADICIONAL 24X90G;90G;24;NESTLE;0,09;16
1942;CHAMYTO IOGURTE PROTEINA TURBO 24X100G;100G;24;NESTLE;0,1;16
2169;QUEIJO MUSSARELA GIROLANDA;PC 4KG;24,5;GIROLANDA;1;169
2332;NESTLE FLAN MORANGO 20X200G;200G;20;NESTLE;0,2;16
2127;NESFIT IOGURTE FRUTAS VERMELHAS 20X150G;150G;20;NESFIT;0,15;16
2373;NINHO IOGURTE POLPA 6X720G;720G;6;NESTLE;0,72;16
2455;MOLICO IOGURTE LIQ BAUN 24X170G;170G;24;NESTLE;0,17;16
2151;SABAO EM PO ABSOLUTO SC 20X500G ;500G;20;ABSOLUTO;0,5;169
2152;SABAO EM PO GUARANI SC 20X500G ;500G;20;GUARANI;0,5;169
2347;CHAMBINHO PETIT MRG 64X80G;64X80G;64;NESTLE;0,08;16
2721;NESFIT IOGURTE POLPA MARACUJA 12X360G;360G;12;NESFIT;0,36;16
2722;NESFIT IOGURTE POLPA FRUTAS VERM12X360G;360G;12;NESFIT;0,36;16
2723;NESFIT IOGURTE POLPA MORANGO BAUN 6X720G;720G;6;NESFIT;0,72;16
2664;MOLICO IOGURTE LIQ BAUN 12X850G;850G;12;NESTLE;0,85;16
