CODFILIAL;CODPROD;DESCRICAO;CODFORNEC;FORNECEDOR;EMBALAGEM;QTESTGER;QTINDENIZ;QTRESERV;QTPENDENTE;CUSTOULTENT;PVENDA;QTBLOQUEADA;QT_DISP
1;200;NESTLE IOG NATURAL DESNATADO 28X160G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;160G;785;0;146;28;1,498942;2,5;0;611
1;201;IOGURTE NESTLE NATURAL MEL 28X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;276;0;248;28;1,498942;2,5;0;0
1;202;MOLICO LEITE FERM LIQ MRG 12X850G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;850G;0;0;0;0;6,411934;9;0;0
1;203;MOLICO LEIFERMENTADO LIQ MRG 24X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;170G;0;0;0;0;1,4215;2,5;0;0
1;204;NESTLE FLAN CARAMELO 20X200G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;200G;140;0;70;20;2,175444;3,1295;0;50
1;205;NESTLE FLAN MORANGO 20X220G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;220G;0;0;0;0;1,53695;2,47;0;0
1;206;NESTLE GREGO IOG LIGHT 3 SAB 6X540G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;540G;271;0;78;0;5,620339;9,1;0;193
1;207;IOGURTE GREGO LIQ NESTLE FR VERM 48X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;0;0;1,348354;1,97;0;0
1;208;IOGURTE GREGO LIQ NESTLE TRADIC 48X170G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;48X170G;0;0;0;0;1,240296;2,03;0;0
1;209;IOGURTE NESTLE GREGO+CORN FLAKES 24X105G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X105G;;0;0;0;1,689583;2,4629;0;
1;210;IOGURTE NESTLE GREGO+PED ABACAXI 24X130G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X130G;;0;0;0;1,69;2,4636;0;
1;211;IOGURTE NESTLE GREGO+PED MORANGO 24X130G;16;DAIRY PARTNERS AMERICAS BRASIL LTDA;24X130G;0;0;0;0;1,773375;2,59;0;0
